time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/n_updates,train/std,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/clip_range
289,2048,7,1,0.062090997,,,,,,,,,,,
286,4096,14,2,0.9804477,10,1.0001381635665894,-0.019901156425476074,3.752117872238159,0.011476636,0.0001,-0.020606311706069393,-41.156982886791226,11.896968105435372,0.121435546875,0.2
286,6144,21,3,-18.47986,20,1.0008634328842163,-0.007497906684875488,78.4747543334961,0.011899697,0.0001,-0.015599457957432606,-41.16006730794906,85.13638098835945,0.106884765625,0.2
286,8192,28,4,0.8550287,30,1.0013267993927002,-0.0017964839935302734,25.268779754638672,0.012507334,0.0001,-0.014155866750661517,-41.18199800252914,33.885147207975386,0.10302734375,0.2
286,10240,35,5,0.5033793,40,1.0019199848175049,-0.0021800994873046875,10.158258438110352,0.012747299,0.0001,-0.020469670331658564,-41.194184839725494,21.605368331074715,0.107421875,0.2
284,12288,43,6,3.0895472,50,1.0029453039169312,0.0027984976768493652,30.6773738861084,0.012581056,0.0001,-0.017663155563059262,-41.220531368255614,54.81575103700161,0.13017578125,0.2
282,14336,50,7,-1.2236646,60,1.0029597282409668,-0.044217586517333984,7.068966388702393,0.012051708,0.0001,-0.019777809891820652,-41.230744910240176,17.16547830402851,0.136376953125,0.2
282,16384,58,8,4.076501,70,1.003380298614502,0.004462182521820068,57.614566802978516,0.01171296,0.0001,-0.015875212945684326,-41.24067002534866,91.16019459962845,0.10234375,0.2
281,18432,65,9,-0.73798764,80,1.0040221214294434,-0.0019276142120361328,31.35103416442871,0.014549459,0.0001,-0.016516136075370013,-41.25517209768295,91.80293459296226,0.109521484375,0.2
280,20480,73,10,1.2322525,90,1.0047414302825928,0.022820472717285156,12.788100242614746,0.014579909,0.0001,-0.024267281577340327,-41.27242337465286,36.673218217492106,0.163671875,0.2
279,22528,80,11,1.4193026,100,1.005360722541809,0.00818777084350586,40.957088470458984,0.011929209,0.0001,-0.016696753289579647,-41.29069073200226,115.38296840190887,0.12783203125,0.2
279,24576,87,12,2.0967138,110,1.0059126615524292,-0.010589957237243652,12.785218238830566,0.016344795,0.0001,-0.020078504591219827,-41.30714302062988,25.21570347249508,0.17001953125,0.2
274,26624,97,13,8.936898,120,1.005906581878662,-0.0046340227127075195,30.045513153076172,0.012209563,0.0001,-0.015529116250399965,-41.31737267971039,105.81608214378358,0.117236328125,0.2
274,28672,104,14,2.753205,130,1.006361484527588,0.01753401756286621,66.96131134033203,0.013046896,0.0001,-0.018631355663819703,-41.32291361093521,101.63230909109116,0.101025390625,0.2
274,30720,111,15,-0.3993389,140,1.0075033903121948,0.010389149188995361,8.186030387878418,0.016141988,0.0001,-0.020702501318010037,-41.34314203262329,17.805716200172903,0.194140625,0.2
274,32768,119,16,5.7324185,150,1.0075310468673706,-0.013252973556518555,37.68126678466797,0.01680715,0.0001,-0.02120860156719573,-41.36576744318008,61.68265407681465,0.155517578125,0.2
274,34816,126,17,0.65141255,160,1.0086328983306885,0.015010237693786621,24.6195125579834,0.015468359,0.0001,-0.019699094263341977,-41.38141709566116,53.91274099946022,0.1513671875,0.2
274,36864,134,18,0.055120356,170,1.0095490217208862,0.01005488634109497,29.4093017578125,0.015791804,0.0001,-0.0223233236480155,-41.41330333948135,54.14772680997849,0.157470703125,0.2
274,38912,141,19,2.6731293,180,1.0107145309448242,-0.010973334312438965,35.87215805053711,0.016225511,0.0001,-0.012010000878581195,-41.43934564590454,98.04297153949737,0.16396484375,0.2
274,40960,149,20,-0.051159337,190,1.0111510753631592,-0.011170029640197754,6.3538899421691895,0.015056713,0.0001,-0.014984330198785756,-41.45988258123398,15.910729190707206,0.128759765625,0.2
274,43008,156,21,-0.88871783,200,1.0119799375534058,-0.008069992065429688,42.08613586425781,0.011869923,0.0001,-0.01336395567341242,-41.48168617486954,63.6106634914875,0.10703125,0.2
274,45056,164,22,0.29027775,210,1.011805534362793,-0.0008203983306884766,27.415468215942383,0.014899628,0.0001,-0.015675785645726137,-41.49136605262756,47.877352643013,0.14267578125,0.2
274,47104,171,23,-0.13596705,220,1.011999487876892,-0.005677700042724609,9.472495079040527,0.018623326,0.0001,-0.019198384485207498,-41.48587565422058,32.317150542140006,0.16611328125,0.2
274,49152,179,24,0.8850493,230,1.0122624635696411,-0.00509190559387207,25.85323143005371,0.014424799,0.0001,-0.016696858753130074,-41.495091223716734,73.35676675438881,0.13349609375,0.2
274,51200,186,25,0.18965751,240,1.0137591361999512,-0.010197162628173828,8.262007713317871,0.018460397,0.0001,-0.012286748447513674,-41.51600856781006,18.652724215388297,0.148974609375,0.2
